,code
2259,3312
2260,3309
2261,263
2262,262
2263,3305
2264,3302
2265,3299
2266,3293
2267,261
2268,260
2269,3290
2270,3284
2271,3281
2272,3278
2273,259
2274,258
2275,3273
2276,3267
2277,257
2278,256
2279,3262
2280,3257
2281,255
2282,3254
2283,3251
2284,254
2285,3247
2286,253
2287,252
2288,3244
2289,3241
2290,3236
2291,3233
2292,251
2293,250
2294,3230
2295,3224
2296,248
2297,3218
2298,249
2299,247
2300,3215
2301,3212
2302,3208
2303,3196
2304,246
2305,245
2306,3193
2307,244
2308,243
2309,3190
2310,3185
2311,3180
2312,242
2313,241
2314,3177
2315,3171
2316,240
2317,239
2318,3165
2319,238
2320,237
2321,3160
2322,3154
2323,236
2324,235
2325,3151
2326,234
2327,233
2328,3148
2329,3143
2330,3138
2331,232
2332,231
2333,3132
2334,3126
2335,229
2336,3120
2337,3114
2338,3111
2339,230
2340,228
2341,3108
2342,227
2343,226
2344,225
2345,224
2346,3103
2347,3097
2348,3094
2349,3088
2350,223
2351,222
2352,3083
2353,221
2354,220
2355,3080
2356,3075
2357,3071
2358,3067
2359,3065
2360,219
2361,218
2362,3063
2363,3057
2364,217
2365,216
2366,3051
2367,3046
2368,215
2369,214
2370,3043
2371,3037
2372,213
2373,3032
2374,3026
2375,212
2376,3023
2377,3018
2378,211
2379,3012
2380,210
2381,209
2382,3006
2383,208
2384,207
2385,206
2386,205
2387,3001
2388,204
2389,203
2390,2995
2391,2989
2392,2984
2393,202
2394,201
2395,2970
2396,2954
2397,200
2398,2948
2399,2942
2400,198
2401,197
2402,2937
2403,196
2404,195
2405,2934
2406,2930
2407,2924
2408,2919
2409,194
2410,193
2411,2913
2412,2902
2413,192
2414,191
2415,2897
2416,190
2417,189
2418,188
2419,187
2420,2891
2421,2885
2422,2878
2423,2875
2424,186
2425,185
2426,2872
2427,184
2428,183
2429,2866
2430,182
2431,181
2432,2860
2433,179
2434,2852
2435,2847
2436,180
2437,178
2438,177
2439,176
2440,2841
2441,2835
2442,2829
2443,2824
2444,2820
2445,175
2446,2806
2447,174
2448,173
2449,2803
2450,172
2451,171
2452,170
2453,169
2454,2797
2455,2792
2456,2786
2457,168
2458,167
2459,2781
2460,2778
2461,166
2462,165
2463,2775
2464,2773
2465,164
2466,163
2467,2764
2468,162
2469,161
2470,2758
2471,160
2472,159
2473,158
2474,157
2475,2747
2476,2744
2477,156
2478,155
2479,2739
2480,2736
2481,154
2482,153
2483,152
2484,151
2485,2730
2486,2727
2487,150
2488,149
2489,2717
2490,2713
2491,148
2492,147
2493,146
2494,145
2495,2706
2496,144
2497,143
2498,2703
2499,2698
2500,2695
2501,142
2502,141
2503,2691
2504,2688
2505,139
2506,2682
2507,2677
2508,2671
2509,138
2510,137
2511,2665
2512,136
2513,135
2514,2651
2515,134
2516,133
2517,2645
2518,2642
2519,132
2520,131
2521,2639
2522,2626
2523,130
2524,129
2525,128
2526,127
2527,2623
2528,126
2529,125
2530,2620
2531,124
2532,123
2533,2615
2534,122
2535,121
2536,120
2537,119
2538,118
2539,117
2540,2608
2541,2601
2542,116
2543,115
2544,114
2545,113
2546,2596
2547,2592
2548,2589
2549,2586
2550,112
2551,2583
2552,111
2553,110
2554,2579
2555,2572
2556,109
2557,108
2558,2568
2559,107
2560,106
2561,2562
2562,105
2563,104
2564,2557
2565,2553
2566,103
2567,102
2568,2542
2569,101
2570,100
2571,2537
2572,99
2573,98
2574,97
2575,96
2576,2532
2577,94
2578,2530
2579,2528
2580,2517
2581,92
2582,2514
2583,2506
2584,93
2585,91
2586,90
2587,89
2588,2503
2589,88
2590,87
2591,2499
2592,2487
2593,86
2594,85
2595,84
2596,83
2597,82
2598,81
2599,2485
2600,80
2601,79
2602,2483
2603,2480
2604,78
2605,77
2606,2477
2607,76
2608,74
2609,73
2610,72
2611,71
2612,70
2613,2471
2614,69
2615,68
2616,67
2617,66
2618,2468
2619,65
2620,64
2621,63
2622,61
2623,60
2624,2461
2625,2459
2626,59
2627,58
2628,2451
2629,57
2630,56
2631,2447
2632,2444
2633,2441
2634,54
2635,55
2636,53
2637,2434
2638,2431
2639,2424
2640,52
2641,51
2642,50
2643,49
2644,2421
2645,2418
